Unit ID,Recommendation,Make,Model,Year,Total_Miles,Total_Revenue,Total_Repair_Cost,Repair_CPM,Net_Exit_Gain,Projected_Net_Value_10Wks,Ownership,Monthly_Payment,Payoff_Balance,Estimated_Market_Value
Truck 0003,"SELL (Low Use, High Value)",INTERNATIONAL,TT,2020,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 0008,INSPECT (Review),Freightliner,TT,2016,5437.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 0013,INSPECT (Review),Western Star,TT,2007,24541.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0002,INSPECT (Review),International,TT,2019,29897.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 0022,"SELL (Low Use, High Value)",kenworth,TT,2006,0.0,0.0,0.0,0.0,57900.0,0.0,,0.0,0.0,57900.0
Truck 0007,INSPECT (Review),Kenworth,TT,2021,30320.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0012,INSPECT (Review),VOLVO,TT,2018,23972.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 0035,"SELL (Low Use, High Value)",International,TT,2006,1155.0,0.0,0.0,0.0,57900.0,0.0,Owner Operator Owned,0.0,0.0,57900.0
Truck 0040,"SELL (Low Use, High Value)",freightliner,TT,2016,554.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 0045,"SELL (Low Use, High Value)",freightliner,TT,2018,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
Truck 0017,INSPECT (Review),freightliner,TT,2016,26766.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
SPOT-Truck 0021,KEEP (Profitable),Peterbilt,579,2025,30579.0,28600.0,552.49,0.01806762811079499,135000.0,18830.01,Operating lease,3687.0,0.0,135000.0
Truck 0058,"SELL (Low Use, High Value)",freightliner,TT,2020,0.0,0.0,0.0,0.0,57900.0,0.0,Owner operator owned,0.0,0.0,57900.0
